case_id,process_type,department,activity,timestamp,resource
WF-1007,Legal Review,Finance,Rejected,2026-06-23T19:19:00,emp_0001
WF-1008,Procurement,Legal,Submitted,2026-06-24T22:37:00,emp_0034
WF-1008,Procurement,Legal,Under Review,2026-06-25T12:37:00,emp_0040
WF-1008,Procurement,Legal,Manager Approval,2026-06-26T19:37:00,emp_0058
WF-1008,Procurement,Legal,Rejected,2026-06-28T02:37:00,emp_0047
WF-1009,Procurement,IT,Submitted,2026-06-18T21:55:00,emp_0015
WF-1009,Procurement,IT,Under Review,2026-06-20T01:55:00,emp_0027
WF-1009,Procurement,IT,Manager Approval,2026-06-21T02:55:00,emp_0073
WF-1009,Procurement,IT,Compliance Check,2026-06-21T16:55:00,emp_0008
WF-1009,Procurement,IT,Approved,2026-06-23T02:55:00,emp_0184
WF-1010,Finance Approval,IT,Submitted,2026-06-25T14:03:00,emp_0105
WF-1010,Finance Approval,IT,Under Review,2026-06-26T14:03:00,emp_0106
WF-1010,Finance Approval,IT,Compliance Check,2026-06-27T18:03:00,emp_0088
WF-1010,Finance Approval,IT,Rejected,2026-06-29T12:03:00,emp_0149
WF-1011,Finance Approval,Sales,Submitted,2026-06-29T14:40:00,emp_0139
WF-1011,Finance Approval,Sales,Under Review,2026-07-01T07:40:00,emp_0174
WF-1011,Finance Approval,Sales,Manager Approval,2026-07-02T23:40:00,emp_0062
WF-1011,Finance Approval,Sales,Compliance Check,2026-07-03T10:40:00,emp_0084
WF-1011,Finance Approval,Sales,Approved,2026-07-03T19:40:00,emp_0022
WF-1012,Procurement,Legal,Submitted,2026-06-08T13:36:00,emp_0025
WF-1012,Procurement,Legal,Under Review,2026-06-09T21:36:00,emp_0050
WF-1012,Procurement,Legal,Manager Approval,2026-06-10T14:36:00,emp_0051
WF-1012,Procurement,Legal,Compliance Check,2026-06-11T04:36:00,emp_0039
WF-1012,Procurement,Legal,Rejected,2026-06-11T12:36:00,emp_0149
WF-1013,IT Service Request,Operations,Submitted,2026-06-19T05:06:00,emp_0131
WF-1013,IT Service Request,Operations,Under Review,2026-06-21T05:06:00,emp_0117
WF-1013,IT Service Request,Operations,Manager Approval,2026-06-23T01:06:00,emp_0161
WF-1013,IT Service Request,Operations,Compliance Check,2026-06-24T09:06:00,emp_0125
WF-1013,IT Service Request,Operations,Approved,2026-06-25T19:06:00,emp_0015
WF-1014,Legal Review,Finance,Submitted,2026-06-19T19:34:00,emp_0042
WF-1014,Legal Review,Finance,Under Review,2026-06-20T12:34:00,emp_0116
WF-1014,Legal Review,Finance,Manager Approval,2026-06-22T07:34:00,emp_0118
WF-1014,Legal Review,Finance,Approved,2026-06-23T00:34:00,emp_0146
WF-1015,Legal Review,Supply Chain,Submitted,2026-06-20T20:20:00,emp_0153
WF-1015,Legal Review,Supply Chain,Under Review,2026-06-21T06:20:00,emp_0020
WF-1015,Legal Review,Supply Chain,Manager Approval,2026-06-22T09:20:00,emp_0078
WF-1015,Legal Review,Supply Chain,Rejected,2026-06-23T20:20:00,emp_0174
WF-1016,Legal Review,Finance,Submitted,2026-06-13T17:32:00,emp_0011
WF-1016,Legal Review,Finance,Under Review,2026-06-14T04:32:00,emp_0143
WF-1016,Legal Review,Finance,Manager Approval,2026-06-15T08:32:00,emp_0093
WF-1016,Legal Review,Finance,Approved,2026-06-16T19:32:00,emp_0112
WF-1017,HR Onboarding,IT,Submitted,2026-06-07T06:20:00,emp_0008
WF-1017,HR Onboarding,IT,Under Review,2026-06-08T18:20:00,emp_0073
WF-1017,HR Onboarding,IT,Compliance Check,2026-06-09T09:20:00,emp_0162
WF-1017,HR Onboarding,IT,Rejected,2026-06-10T05:20:00,emp_0080
WF-1018,Legal Review,Operations,Submitted,2026-06-20T17:49:00,emp_0166
WF-1018,Legal Review,Operations,Under Review,2026-06-22T08:49:00,emp_0015
WF-1018,Legal Review,Operations,Manager Approval,2026-06-23T21:49:00,emp_0136
WF-1018,Legal Review,Operations,Compliance Check,2026-06-24T09:49:00,emp_0122
WF-1018,Legal Review,Operations,Approved,2026-06-26T07:49:00,emp_0111
WF-1019,Procurement,Sales,Submitted,2026-06-26T05:51:00,emp_0101
WF-1019,Procurement,Sales,Under Review,2026-06-27T14:51:00,emp_0168
WF-1019,Procurement,Sales,Compliance Check,2026-06-28T23:51:00,emp_0017
WF-1019,Procurement,Sales,Rejected,2026-06-29T08:51:00,emp_0093
WF-1020,Procurement,Legal,Submitted,2026-06-05T05:20:00,emp_0172
WF-1020,Procurement,Legal,Under Review,2026-06-06T18:20:00,emp_0004
WF-1020,Procurement,Legal,Manager Approval,2026-06-07T19:20:00,emp_0179
WF-1020,Procurement,Legal,Rejected,2026-06-09T09:20:00,emp_0124
WF-1021,IT Service Request,Operations,Submitted,2026-06-20T04:23:00,emp_0055
WF-1021,IT Service Request,Operations,Under Review,2026-06-21T10:23:00,emp_0117
WF-1021,IT Service Request,Operations,Manager Approval,2026-06-23T01:23:00,emp_0151
WF-1021,IT Service Request,Operations,Compliance Check,2026-06-24T20:23:00,emp_0122
WF-1021,IT Service Request,Operations,Rejected,2026-06-25T03:23:00,emp_0174
WF-1022,Finance Approval,Supply Chain,Submitted,2026-07-01T20:18:00,emp_0014
WF-1022,Finance Approval,Supply Chain,Under Review,2026-07-02T01:18:00,emp_0007
WF-1022,Finance Approval,Supply Chain,Manager Approval,2026-07-03T08:18:00,emp_0097
WF-1022,Finance Approval,Supply Chain,Compliance Check,2026-07-03T11:18:00,emp_0098
WF-1022,Finance Approval,Supply Chain,Approved,2026-07-03T23:18:00,emp_0134
WF-1023,IT Service Request,Operations,Submitted,2026-06-29T13:11:00,emp_0105
WF-1023,IT Service Request,Operations,Under Review,2026-07-01T02:11:00,emp_0155
WF-1023,IT Service Request,Operations,Manager Approval,2026-07-02T01:11:00,emp_0057
WF-1023,IT Service Request,Operations,Compliance Check,2026-07-04T01:11:00,emp_0097
WF-1023,IT Service Request,Operations,Approved,2026-07-04T20:11:00,emp_0064
WF-1024,Finance Approval,IT,Submitted,2026-06-08T05:02:00,emp_0060
WF-1024,Finance Approval,IT,Under Review,2026-06-08T18:02:00,emp_0114
WF-1024,Finance Approval,IT,Manager Approval,2026-06-10T03:02:00,emp_0191
WF-1024,Finance Approval,IT,Approved,2026-06-11T07:02:00,emp_0116
WF-1025,Finance Approval,Human Resources,Submitted,2026-06-19T16:43:00,emp_0066
WF-1025,Finance Approval,Human Resources,Under Review,2026-06-21T05:43:00,emp_0067
WF-1025,Finance Approval,Human Resources,Manager Approval,2026-06-23T01:43:00,emp_0175
WF-1025,Finance Approval,Human Resources,Approved,2026-06-23T08:43:00,emp_0165
WF-1026,HR Onboarding,Sales,Submitted,2026-06-15T12:59:00,emp_0196
WF-1026,HR Onboarding,Sales,Under Review,2026-06-16T05:59:00,emp_0114
WF-1026,HR Onboarding,Sales,Manager Approval,2026-06-17T19:59:00,emp_0033
WF-1026,HR Onboarding,Sales,Approved,2026-06-19T13:59:00,emp_0169
WF-1027,HR Onboarding,Sales,Submitted,2026-06-07T03:13:00,emp_0031
WF-1027,HR Onboarding,Sales,Under Review,2026-06-07T08:13:00,emp_0155
WF-1027,HR Onboarding,Sales,Manager Approval,2026-06-08T18:13:00,emp_0008
WF-1027,HR Onboarding,Sales,Approved,2026-06-10T15:13:00,emp_0197
WF-1028,Procurement,Human Resources,Submitted,2026-06-06T08:41:00,emp_0027
WF-1028,Procurement,Human Resources,Under Review,2026-06-06T14:41:00,emp_0135
WF-1028,Procurement,Human Resources,Compliance Check,2026-06-06T17:41:00,emp_0050
WF-1028,Procurement,Human Resources,Rejected,2026-06-07T12:41:00,emp_0064
WF-1029,HR Onboarding,Legal,Submitted,2026-06-20T12:04:00,emp_0081
WF-1029,HR Onboarding,Legal,Under Review,2026-06-21T02:04:00,emp_0143
WF-1029,HR Onboarding,Legal,Manager Approval,2026-06-21T22:04:00,emp_0151
WF-1029,HR Onboarding,Legal,Compliance Check,2026-06-23T09:04:00,emp_0177
WF-1029,HR Onboarding,Legal,Approved,2026-06-23T23:04:00,emp_0064
WF-1030,Procurement,Finance,Submitted,2026-06-05T23:14:00,emp_0126
WF-1030,Procurement,Finance,Under Review,2026-06-07T12:14:00,emp_0131
WF-1030,Procurement,Finance,Compliance Check,2026-06-09T01:14:00,emp_0074
WF-1030,Procurement,Finance,Approved,2026-06-09T05:14:00,emp_0161
WF-1031,Legal Review,Legal,Submitted,2026-06-27T08:06:00,emp_0071
WF-1031,Legal Review,Legal,Under Review,2026-06-29T01:06:00,emp_0200
WF-1031,Legal Review,Legal,Manager Approval,2026-06-30T11:06:00,emp_0030
WF-1031,Legal Review,Legal,Compliance Check,2026-07-01T22:06:00,emp_0059
WF-1031,Legal Review,Legal,Approved,2026-07-03T02:06:00,emp_0005
WF-1032,Finance Approval,Legal,Submitted,2026-06-14T06:37:00,emp_0141
WF-1032,Finance Approval,Legal,Under Review,2026-06-14T17:37:00,emp_0075
WF-1032,Finance Approval,Legal,Manager Approval,2026-06-14T19:37:00,emp_0095
WF-1032,Finance Approval,Legal,Rejected,2026-06-16T01:37:00,emp_0028
WF-1033,Finance Approval,Human Resources,Submitted,2026-06-13T16:22:00,emp_0055
WF-1033,Finance Approval,Human Resources,Under Review,2026-06-14T01:22:00,emp_0140
WF-1033,Finance Approval,Human Resources,Manager Approval,2026-06-14T06:22:00,emp_0184
WF-1033,Finance Approval,Human Resources,Rejected,2026-06-16T00:22:00,emp_0109
WF-1034,Finance Approval,IT,Submitted,2026-06-15T14:41:00,emp_0068
WF-1034,Finance Approval,IT,Under Review,2026-06-17T14:41:00,emp_0173
WF-1034,Finance Approval,IT,Compliance Check,2026-06-17T20:41:00,emp_0015
WF-1034,Finance Approval,IT,Rejected,2026-06-17T21:41:00,emp_0107
WF-1035,Legal Review,Legal,Submitted,2026-06-06T11:10:00,emp_0074
WF-1035,Legal Review,Legal,Under Review,2026-06-07T12:10:00,emp_0103
WF-1035,Legal Review,Legal,Manager Approval,2026-06-08T21:10:00,emp_0041
WF-1035,Legal Review,Legal,Rejected,2026-06-10T16:10:00,emp_0195
WF-1036,IT Service Request,Legal,Submitted,2026-06-05T23:03:00,emp_0151
WF-1036,IT Service Request,Legal,Under Review,2026-06-06T06:03:00,emp_0094
WF-1036,IT Service Request,Legal,Manager Approval,2026-06-06T12:03:00,emp_0103
WF-1036,IT Service Request,Legal,Compliance Check,2026-06-06T17:03:00,emp_0022
WF-1036,IT Service Request,Legal,Rejected,2026-06-08T10:03:00,emp_0090
WF-1037,Procurement,IT,Submitted,2026-07-02T19:39:00,emp_0142
WF-1037,Procurement,IT,Under Review,2026-07-04T06:39:00,emp_0087
WF-1037,Procurement,IT,Compliance Check,2026-07-04T23:39:00,emp_0019
WF-1037,Procurement,IT,Rejected,2026-07-05T08:39:00,emp_0178
WF-1038,Legal Review,Operations,Submitted,2026-06-20T08:10:00,emp_0098
WF-1038,Legal Review,Operations,Under Review,2026-06-20T09:10:00,emp_0022
WF-1038,Legal Review,Operations,Manager Approval,2026-06-22T01:10:00,emp_0037
WF-1038,Legal Review,Operations,Compliance Check,2026-06-22T20:10:00,emp_0072
WF-1038,Legal Review,Operations,Rejected,2026-06-23T12:10:00,emp_0173
WF-1039,Procurement,Legal,Submitted,2026-06-14T10:57:00,emp_0068
WF-1039,Procurement,Legal,Under Review,2026-06-15T19:57:00,emp_0191
WF-1039,Procurement,Legal,Manager Approval,2026-06-17T02:57:00,emp_0077
WF-1039,Procurement,Legal,Approved,2026-06-18T20:57:00,emp_0106
WF-1040,HR Onboarding,Legal,Submitted,2026-06-18T16:59:00,emp_0187
WF-1040,HR Onboarding,Legal,Under Review,2026-06-18T23:59:00,emp_0199
WF-1040,HR Onboarding,Legal,Manager Approval,2026-06-19T02:59:00,emp_0047
WF-1040,HR Onboarding,Legal,Approved,2026-06-20T18:59:00,emp_0024
WF-1041,Finance Approval,IT,Submitted,2026-06-13T03:55:00,emp_0138
WF-1041,Finance Approval,IT,Under Review,2026-06-14T10:55:00,emp_0019
WF-1041,Finance Approval,IT,Manager Approval,2026-06-14T11:55:00,emp_0051
WF-1041,Finance Approval,IT,Compliance Check,2026-06-15T22:55:00,emp_0082
WF-1041,Finance Approval,IT,Rejected,2026-06-16T20:55:00,emp_0161
WF-1042,Finance Approval,Supply Chain,Submitted,2026-06-30T04:01:00,emp_0075
WF-1042,Finance Approval,Supply Chain,Under Review,2026-06-30T12:01:00,emp_0076
WF-1042,Finance Approval,Supply Chain,Manager Approval,2026-06-30T13:01:00,emp_0044
WF-1042,Finance Approval,Supply Chain,Approved,2026-07-02T02:01:00,emp_0138
WF-1043,Legal Review,Finance,Submitted,2026-06-05T00:32:00,emp_0018
WF-1043,Legal Review,Finance,Under Review,2026-06-06T04:32:00,emp_0062
WF-1043,Legal Review,Finance,Manager Approval,2026-06-06T20:32:00,emp_0160
WF-1043,Legal Review,Finance,Compliance Check,2026-06-08T18:32:00,emp_0024
WF-1043,Legal Review,Finance,Rejected,2026-06-09T03:32:00,emp_0179
WF-1044,Procurement,Supply Chain,Submitted,2026-06-09T09:18:00,emp_0159
WF-1044,Procurement,Supply Chain,Under Review,2026-06-09T11:18:00,emp_0059
WF-1044,Procurement,Supply Chain,Manager Approval,2026-06-10T13:18:00,emp_0052
WF-1044,Procurement,Supply Chain,Compliance Check,2026-06-11T17:18:00,emp_0171
WF-1044,Procurement,Supply Chain,Approved,2026-06-12T09:18:00,emp_0148
WF-1045,Finance Approval,Legal,Submitted,2026-06-20T19:41:00,emp_0157
WF-1045,Finance Approval,Legal,Under Review,2026-06-22T08:41:00,emp_0031
WF-1045,Finance Approval,Legal,Manager Approval,2026-06-23T19:41:00,emp_0006
WF-1045,Finance Approval,Legal,Rejected,2026-06-24T01:41:00,emp_0119
WF-1046,IT Service Request,Legal,Submitted,2026-06-11T06:58:00,emp_0011
WF-1046,IT Service Request,Legal,Under Review,2026-06-11T20:58:00,emp_0181
WF-1046,IT Service Request,Legal,Approved,2026-06-12T21:58:00,emp_0067
WF-1047,IT Service Request,Finance,Submitted,2026-06-08T03:24:00,emp_0057
WF-1047,IT Service Request,Finance,Under Review,2026-06-10T00:24:00,emp_0058
WF-1047,IT Service Request,Finance,Manager Approval,2026-06-11T16:24:00,emp_0010
WF-1047,IT Service Request,Finance,Compliance Check,2026-06-13T05:24:00,emp_0156
WF-1047,IT Service Request,Finance,Approved,2026-06-13T08:24:00,emp_0086
WF-1048,Procurement,Legal,Submitted,2026-06-21T23:39:00,emp_0030
WF-1048,Procurement,Legal,Under Review,2026-06-23T02:39:00,emp_0198
WF-1048,Procurement,Legal,Rejected,2026-06-23T14:39:00,emp_0141
WF-1049,Procurement,Human Resources,Submitted,2026-06-18T23:52:00,emp_0099
WF-1049,Procurement,Human Resources,Under Review,2026-06-20T02:52:00,emp_0087
WF-1049,Procurement,Human Resources,Manager Approval,2026-06-21T06:52:00,emp_0039
WF-1049,Procurement,Human Resources,Compliance Check,2026-06-21T11:52:00,emp_0005
WF-1049,Procurement,Human Resources,Approved,2026-06-23T04:52:00,emp_0038
WF-1050,Procurement,Human Resources,Submitted,2026-06-26T01:42:00,emp_0150
WF-1050,Procurement,Human Resources,Under Review,2026-06-26T21:42:00,emp_0084
WF-1050,Procurement,Human Resources,Manager Approval,2026-06-27T05:42:00,emp_0110
WF-1050,Procurement,Human Resources,Compliance Check,2026-06-28T10:42:00,emp_0146
WF-1050,Procurement,Human Resources,Approved,2026-06-28T11:42:00,emp_0089
WF-1051,Procurement,Legal,Submitted,2026-06-04T06:41:00,emp_0028
WF-1051,Procurement,Legal,Under Review,2026-06-05T09:41:00,emp_0013
WF-1051,Procurement,Legal,Manager Approval,2026-06-06T22:41:00,emp_0081
WF-1051,Procurement,Legal,Approved,2026-06-07T01:41:00,emp_0071
WF-1052,Procurement,Supply Chain,Submitted,2026-06-11T23:47:00,emp_0001
WF-1052,Procurement,Supply Chain,Under Review,2026-06-13T09:47:00,emp_0135
WF-1052,Procurement,Supply Chain,Manager Approval,2026-06-14T13:47:00,emp_0089
WF-1052,Procurement,Supply Chain,Compliance Check,2026-06-16T10:47:00,emp_0124
WF-1052,Procurement,Supply Chain,Approved,2026-06-18T03:47:00,emp_0192
WF-1053,IT Service Request,IT,Submitted,2026-06-12T17:41:00,emp_0094
WF-1053,IT Service Request,IT,Under Review,2026-06-13T05:41:00,emp_0159
WF-1053,IT Service Request,IT,Compliance Check,2026-06-14T09:41:00,emp_0021
WF-1053,IT Service Request,IT,Approved,2026-06-14T12:41:00,emp_0042
WF-1054,IT Service Request,Operations,Submitted,2026-06-28T06:16:00,emp_0035
WF-1054,IT Service Request,Operations,Under Review,2026-06-28T19:16:00,emp_0120
WF-1054,IT Service Request,Operations,Approved,2026-06-28T21:16:00,emp_0188
WF-1055,IT Service Request,Operations,Submitted,2026-06-27T02:19:00,emp_0149
WF-1055,IT Service Request,Operations,Under Review,2026-06-27T19:19:00,emp_0103
WF-1055,IT Service Request,Operations,Manager Approval,2026-06-28T13:19:00,emp_0140
WF-1055,IT Service Request,Operations,Approved,2026-06-29T17:19:00,emp_0103
WF-1056,Procurement,Supply Chain,Submitted,2026-06-26T00:23:00,emp_0111
WF-1056,Procurement,Supply Chain,Under Review,2026-06-26T05:23:00,emp_0195
WF-1056,Procurement,Supply Chain,Manager Approval,2026-06-27T00:23:00,emp_0154
WF-1056,Procurement,Supply Chain,Compliance Check,2026-06-27T09:23:00,emp_0163
WF-1056,Procurement,Supply Chain,Approved,2026-06-27T20:23:00,emp_0085
WF-1057,Legal Review,IT,Submitted,2026-06-11T22:27:00,emp_0028
WF-1057,Legal Review,IT,Under Review,2026-06-12T10:27:00,emp_0032
WF-1057,Legal Review,IT,Rejected,2026-06-13T23:27:00,emp_0189
WF-1058,Legal Review,Human Resources,Submitted,2026-07-01T00:27:00,emp_0187
WF-1058,Legal Review,Human Resources,Under Review,2026-07-01T07:27:00,emp_0002
WF-1058,Legal Review,Human Resources,Manager Approval,2026-07-02T22:27:00,emp_0170
WF-1058,Legal Review,Human Resources,Compliance Check,2026-07-04T03:27:00,emp_0172
WF-1058,Legal Review,Human Resources,Rejected,2026-07-05T01:27:00,emp_0004
WF-1059,IT Service Request,Operations,Submitted,2026-06-21T15:22:00,emp_0115
WF-1059,IT Service Request,Operations,Under Review,2026-06-23T02:22:00,emp_0159
WF-1059,IT Service Request,Operations,Manager Approval,2026-06-23T21:22:00,emp_0165
WF-1059,IT Service Request,Operations,Approved,2026-06-25T00:22:00,emp_0199
WF-1060,Legal Review,Human Resources,Submitted,2026-06-16T04:08:00,emp_0002
WF-1060,Legal Review,Human Resources,Under Review,2026-06-16T19:08:00,emp_0143
WF-1060,Legal Review,Human Resources,Manager Approval,2026-06-18T13:08:00,emp_0199
WF-1060,Legal Review,Human Resources,Compliance Check,2026-06-20T11:08:00,emp_0084
WF-1060,Legal Review,Human Resources,Rejected,2026-06-21T06:08:00,emp_0035
WF-1061,HR Onboarding,IT,Submitted,2026-06-05T11:08:00,emp_0168
WF-1061,HR Onboarding,IT,Under Review,2026-06-06T15:08:00,emp_0122
WF-1061,HR Onboarding,IT,Manager Approval,2026-06-07T15:08:00,emp_0200
WF-1061,HR Onboarding,IT,Compliance Check,2026-06-08T17:08:00,emp_0064
WF-1061,HR Onboarding,IT,Rejected,2026-06-09T04:08:00,emp_0195
WF-1062,HR Onboarding,IT,Submitted,2026-06-15T15:50:00,emp_0143
WF-1062,HR Onboarding,IT,Under Review,2026-06-16T11:50:00,emp_0149
WF-1062,HR Onboarding,IT,Manager Approval,2026-06-16T14:50:00,emp_0140
WF-1062,HR Onboarding,IT,Compliance Check,2026-06-16T18:50:00,emp_0104
WF-1062,HR Onboarding,IT,Approved,2026-06-17T04:50:00,emp_0167
WF-1063,Finance Approval,Finance,Submitted,2026-06-09T01:56:00,emp_0010
WF-1063,Finance Approval,Finance,Under Review,2026-06-09T23:56:00,emp_0128
WF-1063,Finance Approval,Finance,Compliance Check,2026-06-11T17:56:00,emp_0112
WF-1063,Finance Approval,Finance,Approved,2026-06-13T03:56:00,emp_0137
WF-1064,HR Onboarding,Operations,Submitted,2026-06-18T02:18:00,emp_0082
WF-1064,HR Onboarding,Operations,Under Review,2026-06-20T02:18:00,emp_0197
WF-1064,HR Onboarding,Operations,Manager Approval,2026-06-21T18:18:00,emp_0197
WF-1064,HR Onboarding,Operations,Compliance Check,2026-06-22T23:18:00,emp_0165
WF-1064,HR Onboarding,Operations,Approved,2026-06-23T08:18:00,emp_0067
WF-1065,Procurement,Operations,Submitted,2026-06-26T05:40:00,emp_0075
WF-1065,Procurement,Operations,Under Review,2026-06-28T04:40:00,emp_0167
WF-1065,Procurement,Operations,Manager Approval,2026-06-29T16:40:00,emp_0106
WF-1065,Procurement,Operations,Approved,2026-06-30T00:40:00,emp_0094
WF-1066,HR Onboarding,IT,Submitted,2026-07-01T13:49:00,emp_0036
WF-1066,HR Onboarding,IT,Under Review,2026-07-03T13:49:00,emp_0148
WF-1066,HR Onboarding,IT,Manager Approval,2026-07-05T00:49:00,emp_0199
WF-1066,HR Onboarding,IT,Compliance Check,2026-07-05T08:49:00,emp_0066
WF-1066,HR Onboarding,IT,Approved,2026-07-06T05:49:00,emp_0067
WF-1067,Finance Approval,Operations,Submitted,2026-06-27T00:13:00,emp_0183
WF-1067,Finance Approval,Operations,Under Review,2026-06-28T15:13:00,emp_0012
WF-1067,Finance Approval,Operations,Manager Approval,2026-06-30T08:13:00,emp_0171
WF-1067,Finance Approval,Operations,Rejected,2026-07-01T11:13:00,emp_0129
WF-1068,IT Service Request,Operations,Submitted,2026-06-15T01:11:00,emp_0086
WF-1068,IT Service Request,Operations,Under Review,2026-06-16T00:11:00,emp_0155
WF-1068,IT Service Request,Operations,Manager Approval,2026-06-16T08:11:00,emp_0006
WF-1068,IT Service Request,Operations,Rejected,2026-06-17T05:11:00,emp_0088
WF-1069,Procurement,Sales,Submitted,2026-06-07T20:19:00,emp_0032
WF-1069,Procurement,Sales,Under Review,2026-06-08T22:19:00,emp_0197
WF-1069,Procurement,Sales,Manager Approval,2026-06-09T17:19:00,emp_0040
WF-1069,Procurement,Sales,Approved,2026-06-11T08:19:00,emp_0013
WF-1070,Legal Review,Operations,Submitted,2026-06-21T14:58:00,emp_0137
WF-1070,Legal Review,Operations,Under Review,2026-06-22T23:58:00,emp_0120
WF-1070,Legal Review,Operations,Manager Approval,2026-06-23T18:58:00,emp_0107
WF-1070,Legal Review,Operations,Compliance Check,2026-06-23T20:58:00,emp_0056
WF-1070,Legal Review,Operations,Rejected,2026-06-25T13:58:00,emp_0024
WF-1071,IT Service Request,IT,Submitted,2026-06-09T00:37:00,emp_0111
WF-1071,IT Service Request,IT,Under Review,2026-06-10T17:37:00,emp_0003
WF-1071,IT Service Request,IT,Manager Approval,2026-06-11T20:37:00,emp_0112
WF-1071,IT Service Request,IT,Compliance Check,2026-06-12T23:37:00,emp_0124
WF-1071,IT Service Request,IT,Approved,2026-06-13T20:37:00,emp_0103
WF-1072,HR Onboarding,Legal,Submitted,2026-06-11T11:49:00,emp_0177
WF-1072,HR Onboarding,Legal,Under Review,2026-06-12T04:49:00,emp_0116
WF-1072,HR Onboarding,Legal,Manager Approval,2026-06-12T13:49:00,emp_0162
WF-1072,HR Onboarding,Legal,Rejected,2026-06-12T19:49:00,emp_0052
WF-1073,Legal Review,Finance,Submitted,2026-06-17T18:15:00,emp_0119
WF-1073,Legal Review,Finance,Under Review,2026-06-19T13:15:00,emp_0189
WF-1073,Legal Review,Finance,Manager Approval,2026-06-20T19:15:00,emp_0152
WF-1073,Legal Review,Finance,Compliance Check,2026-06-22T11:15:00,emp_0099
WF-1073,Legal Review,Finance,Approved,2026-06-24T05:15:00,emp_0032
WF-1074,Procurement,Operations,Submitted,2026-06-18T03:25:00,emp_0101
WF-1074,Procurement,Operations,Under Review,2026-06-18T05:25:00,emp_0191
WF-1074,Procurement,Operations,Manager Approval,2026-06-19T06:25:00,emp_0018
WF-1074,Procurement,Operations,Compliance Check,2026-06-19T22:25:00,emp_0193
WF-1074,Procurement,Operations,Approved,2026-06-21T06:25:00,emp_0124
WF-1075,Procurement,Finance,Submitted,2026-06-16T06:56:00,emp_0101
WF-1075,Procurement,Finance,Under Review,2026-06-16T13:56:00,emp_0013
WF-1075,Procurement,Finance,Manager Approval,2026-06-17T06:56:00,emp_0187
WF-1075,Procurement,Finance,Compliance Check,2026-06-18T05:56:00,emp_0007
WF-1075,Procurement,Finance,Rejected,2026-06-18T15:56:00,emp_0125
WF-1076,HR Onboarding,Finance,Submitted,2026-06-29T20:49:00,emp_0031
WF-1076,HR Onboarding,Finance,Under Review,2026-07-01T16:49:00,emp_0192
WF-1076,HR Onboarding,Finance,Manager Approval,2026-07-03T02:49:00,emp_0042
WF-1076,HR Onboarding,Finance,Compliance Check,2026-07-03T05:49:00,emp_0184
WF-1076,HR Onboarding,Finance,Approved,2026-07-03T08:49:00,emp_0016
WF-1077,Procurement,IT,Submitted,2026-06-02T07:53:00,emp_0175
WF-1077,Procurement,IT,Under Review,2026-06-03T16:53:00,emp_0088
WF-1077,Procurement,IT,Compliance Check,2026-06-03T17:53:00,emp_0158
WF-1077,Procurement,IT,Rejected,2026-06-05T13:53:00,emp_0057
WF-1078,HR Onboarding,Finance,Submitted,2026-06-20T03:06:00,emp_0148
WF-1078,HR Onboarding,Finance,Under Review,2026-06-21T15:06:00,emp_0004
